LEARNING_RATE	DECAY  	LOSS   	BATCH  	BANDS  	MODEL  	ID     	IoU
 0.0001	   0.01	ce     	     16	      3	unet4_3	    422	0.80256
0.00025	  0.001	ce     	     32	      3	unet4_3	    455	0.79257
 0.0001	  1e-05	ce     	     16	      3	unet4_3	    440	0.76509
 0.0001	 0.0001	ce     	     16	      3	unet4_3	    434	0.75693
0.00025	  1e-05	ce     	     16	      3	unet4_3	    464	0.75176
0.00025	  1e-05	ce     	     16	      3	unet1_3	    463	0.74691
 0.0001	  0.001	ce     	     16	      3	unet1_3	    427	0.7464 
0.00025	   0.01	ce     	     16	      3	unet1_3	    445	0.74146
 0.0001	  0.001	ce     	     16	      3	unet4_3	    428	0.73912
 0.0001	  0.001	ce     	     16	      3	unet1_2	    429	0.73593
0.00025	   0.01	ce     	     32	      3	unet4_3	    449	0.72601
 0.0001	 0.0001	ce     	     16	      3	unet1_2	    435	0.7234 
 0.0001	  1e-05	ce     	     16	      3	unet1_2	    441	0.72291
0.00025	 0.0001	ce     	     32	      3	unet4_3	    461	0.72242
 0.0005	  0.001	ce     	     16	      3	unet4_3	    476	0.71943
 0.0001	   0.01	ce     	     16	      3	unet1_3	    421	0.71596
 0.0001	   0.01	ce     	     16	      3	unet1_2	    423	0.71581
 0.0001	 0.0001	ce     	     16	      3	unet1_3	    433	0.71308
  0.001	  1e-05	ce     	     32	      3	unet4_3	    539	0.71227
 0.0001	  1e-05	ce     	     32	      3	unet1_3	    442	0.70852
0.00075	   0.01	ce     	     32	      3	unet1_2	    498	0.70843
0.00025	  0.001	ce     	     16	      3	unet1_3	    451	0.70835
 0.0001	  0.001	ce     	     32	      3	unet4_3	    431	0.70739
 0.0005	  0.001	ce     	     32	      3	unet4_3	    479	0.70703
0.00025	  0.001	ce     	     16	      3	unet1_2	    453	0.70384
 0.0001	  1e-05	ce     	     16	      3	unet1_3	    439	0.70256
 0.0001	 0.0001	ce     	     32	      3	unet1_3	    436	0.69947
 0.0005	   0.01	ce     	     32	      3	unet4_3	    473	0.69756
0.00025	 0.0001	ce     	     16	      3	unet1_3	    457	0.69477
 0.0001	  0.001	ce     	     32	      3	unet1_3	    430	0.69383
0.00025	 0.0001	ce     	     16	      3	unet4_3	    458	0.6931 
 0.0001	   0.01	ce     	     32	      3	unet1_3	    424	0.69225
0.00025	  0.001	ce     	     32	      3	unet1_2	    456	0.69221
0.00025	  1e-05	ce     	     16	      3	unet1_2	    465	0.68664
0.00025	  1e-05	ce     	     32	      3	unet4_3	    467	0.68567
0.00025	  1e-05	ce     	     32	      3	unet1_2	    468	0.68555
 0.0001	  1e-05	ce     	     32	      3	unet4_3	    443	0.68548
 0.0001	 0.0001	ce     	     32	      3	unet4_3	    437	0.68548
  0.001	   0.01	ce     	     32	      3	unet4_3	    521	0.68548
 0.0005	  1e-05	ce     	     32	      3	unet4_3	    491	0.68199
0.00075	 0.0001	ce     	     32	      3	unet4_3	    509	0.68149
 0.0001	   0.01	ce     	     32	      3	unet4_3	    425	0.68066
 0.0001	  0.001	ce     	     32	      3	unet1_2	    432	0.67892
0.00025	   0.01	ce     	     32	      3	unet1_3	    448	0.67885
 0.0005	 0.0001	ce     	     32	      3	unet1_3	    484	0.67829
0.00025	   0.01	ce     	     16	      3	unet1_2	    447	0.67829
0.00075	   0.01	ce     	     32	      3	unet1_3	    496	0.67765
 0.0005	   0.01	ce     	     32	      3	unet1_3	    472	0.67702
0.00025	 0.0001	ce     	     16	      3	unet1_2	    459	0.67626
 0.0005	 0.0001	ce     	     16	      3	unet1_3	    481	0.67612
0.00075	  0.001	ce     	     32	      3	unet4_3	    503	0.67523
0.00025	 0.0001	ce     	     32	      3	unet1_2	    462	0.67289
0.00025	  1e-05	ce     	     32	      3	unet1_3	    466	0.67152
0.00075	  1e-05	ce     	     32	      3	unet4_3	    515	0.67062
0.00025	 0.0001	ce     	     32	      3	unet1_3	    460	0.66999
 0.0005	  1e-05	ce     	     16	      3	unet1_3	    487	0.66964
0.00025	  0.001	ce     	     32	      3	unet1_3	    454	0.66823
 0.0005	  1e-05	ce     	     32	      3	unet1_3	    490	0.66735
0.00025	   0.01	ce     	     32	      3	unet1_2	    450	0.667  
0.00025	   0.01	ce     	     16	      3	unet4_3	    446	0.66558
 0.0001	   0.01	ce     	     32	      3	unet1_2	    426	0.66476
  0.001	  0.001	ce     	     16	      3	unet1_2	    525	0.66403
 0.0005	  1e-05	ce     	     16	      3	unet4_3	    488	0.66305
0.00075	  1e-05	ce     	     16	      3	unet1_2	    513	0.66281
  0.001	  1e-05	ce     	     16	      3	unet1_3	    535	0.66131
 0.0001	  1e-05	ce     	     32	      3	unet1_2	    444	0.65956
  0.001	  0.001	ce     	     16	      3	unet1_3	    523	0.65948
0.00075	 0.0001	ce     	     32	      3	unet1_3	    508	0.65906
 0.0005	  0.001	ce     	     16	      3	unet1_2	    477	0.65846
 0.0005	   0.01	ce     	     16	      3	unet1_3	    469	0.65841
  0.001	 0.0001	ce     	     32	      3	unet1_2	    534	0.65639
0.00075	  0.001	ce     	     32	      3	unet1_3	    502	0.65391
0.00075	  1e-05	ce     	     16	      3	unet1_3	    511	0.6513 
 0.0005	   0.01	ce     	     32	      3	unet1_2	    474	0.65007
 0.0005	 0.0001	ce     	     32	      3	unet4_3	    485	0.64989
 0.0005	  0.001	ce     	     16	      3	unet1_3	    475	0.64916
 0.0005	 0.0001	ce     	     16	      3	unet1_2	    483	0.64893
  0.001	 0.0001	ce     	     32	      3	unet4_3	    533	0.64891
 0.0005	 0.0001	ce     	     16	      3	unet4_3	    482	0.64852
0.00075	 0.0001	ce     	     16	      3	unet1_2	    507	0.64803
0.00075	  0.001	ce     	     16	      3	unet1_3	    499	0.64781
0.00075	  0.001	ce     	     16	      3	unet4_3	    500	0.64761
0.00075	  0.001	ce     	     16	      3	unet1_2	    501	0.64711
0.00075	   0.01	ce     	     32	      3	unet4_3	    497	0.64424
  0.001	   0.01	ce     	     16	      3	unet1_3	    517	0.64379
 0.0005	  0.001	ce     	     32	      3	unet1_3	    478	0.64361
 0.0005	   0.01	ce     	     16	      3	unet1_2	    471	0.64101
 0.0005	  1e-05	ce     	     16	      3	unet1_2	    489	0.63885
 0.0005	   0.01	ce     	     16	      3	unet4_3	    470	0.63884
 0.0005	  0.001	ce     	     32	      3	unet1_2	    480	0.63762
0.00075	  1e-05	ce     	     32	      3	unet1_2	    516	0.63756
0.00075	  0.001	ce     	     32	      3	unet1_2	    504	0.63561
  0.001	  0.001	ce     	     16	      3	unet4_3	    524	0.63543
 0.0005	  1e-05	ce     	     32	      3	unet1_2	    492	0.6344 
  0.001	   0.01	ce     	     32	      3	unet1_2	    522	0.63411
0.00075	   0.01	ce     	     16	      3	unet4_3	    494	0.63222
  0.001	 0.0001	ce     	     16	      3	unet1_3	    529	0.63184
0.00025	  0.001	ce     	     16	      3	unet4_3	    452	0.63136
  0.001	  1e-05	ce     	     16	      3	unet1_2	    537	0.6292 
  0.001	   0.01	ce     	     32	      3	unet1_3	    520	0.62826
  0.001	  0.001	ce     	     32	      3	unet1_3	    526	0.62735
0.00075	 0.0001	ce     	     16	      3	unet1_3	    505	0.62434
 0.0001	 0.0001	ce     	     32	      3	unet1_2	    438	0.62244
0.00075	  1e-05	ce     	     32	      3	unet1_3	    514	0.61622
0.00075	   0.01	ce     	     16	      3	unet1_2	    495	0.61589
  0.001	 0.0001	ce     	     16	      3	unet1_2	    531	0.61549
  0.001	   0.01	ce     	     16	      3	unet4_3	    518	0.61247
  0.001	  0.001	ce     	     32	      3	unet4_3	    527	0.61035
0.00075	 0.0001	ce     	     16	      3	unet4_3	    506	0.61001
0.00075	  1e-05	ce     	     16	      3	unet4_3	    512	0.60766
  0.001	  1e-05	ce     	     32	      3	unet1_3	    538	0.60525
  0.001	 0.0001	ce     	     32	      3	unet1_3	    532	0.59408
  0.001	  1e-05	ce     	     32	      3	unet1_2	    540	0.58893
0.00075	 0.0001	ce     	     32	      3	unet1_2	    510	0.58695
 0.0005	 0.0001	ce     	     32	      3	unet1_2	    486	0.58338
  0.001	 0.0001	ce     	     16	      3	unet4_3	    530	0.57468
  0.001	  0.001	ce     	     32	      3	unet1_2	    528	0.57085
  0.001	   0.01	ce     	     16	      3	unet1_2	    519	0.56443
  0.001	  1e-05	ce     	     16	      3	unet4_3	    536	0.56069
0.00075	   0.01	ce     	     16	      3	unet1_3	    493	0.50715
